gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Sprr1b,568.5450067669155,1.5558535560034867,0.35121877984305555,3.95836311132051e-7,9.26969473409037e-4
Sprr2h,296.6015724156106,1.2256079113227343,0.5457057983468253,7.15393241025425e-4,0.07221154706178191
Fam83e,32.7321795465249,1.0525337656699265,0.4553455822022526,6.735455562178223e-4,0.07015353048273373
Cemip,54.26558887381438,0.9775404757633409,0.4045084708383599,5.344252850076733e-4,0.0669882325115028
Il36a,570.0064922049403,0.9356176810732306,0.4908589790889094,0.001569297555271883,0.0824390586608831
Scgb1a1,110.60743442253892,0.9147034320905537,0.5304715274061083,0.002151415063151456,0.08441515882878307
Padi1,127.72883294274894,0.9063562392862723,0.4374998999866648,0.0011697131601808527,0.08051332872230046
Wfdc12,96.24212713463488,0.9053884490078706,0.2522701974061491,1.5243370096296496e-5,0.014873718371461305
Cxcr2,277.93506920067074,0.8297630238705611,0.19516667036234794,1.0738481327833815e-6,0.002095614631126769
Lce3e,40.327184096939824,0.8134519498760078,1.266055833167303,0.005481988809622485,0.09094914242403661
Zswim3,77.32216336955204,0.7925555305560311,0.21874192259564426,1.4172767688323643e-5,0.014873718371461305
Dhrs9,149.53071855441087,0.7767319231527756,0.21916222307925434,1.913028884623116e-5,0.017230504007732357
Scgb1b27,244.75094658611619,0.7726692972235828,0.8428472466439284,0.005195858839936607,0.09064395088369409
Tmigd1,114.24659527939804,0.7583492531798086,0.3100641072295884,5.613749315186695e-4,0.06707284768522552
Kprp,22678.485209493258,0.7524015910385791,0.3926764646262054,0.00240016163855363,0.08441515882878307
Peak1,761.0893315509544,0.7344497636700388,0.4313341455280374,0.0025964549218384977,0.08441515882878307
Il36b,1362.1660906739473,0.7138963193275255,0.46488890183637954,0.0032646878446295855,0.08605984037509125
Rnf227,6788.4899075479025,0.7119389446626598,0.5732953186595289,0.004594305871517304,0.09028970208253155
Prdm1,2442.3867715243546,0.711044495807251,0.41366677946797775,0.002611133791417766,0.08441515882878307
Ereg,2384.9447600438175,0.7090285401907014,0.3109677314931269,8.642896559950148e-4,0.07353991704336
Lce3c,383.0886584032721,0.6960769580557618,0.5391416215676064,0.004361391617419414,0.08939967821384438
Gpat3,461.4065959298137,0.6909332157796405,0.33840929188429186,0.0014595999459651844,0.08099742069813434
Shoc1,186.71451017268862,0.6880371831726697,0.662968547782678,0.005313013324458456,0.09094914242403661
Plekhg1,906.9731218944028,0.6826837663831758,0.308502844295138,0.0010360733645975403,0.07678090522830759
Ccl6,712.0785670899488,0.6795153920912007,0.3450088444307429,0.0016970531459794076,0.08278291638671728
Twf1,3363.3874108236787,0.6782012615952743,0.37344335214040447,0.002383656454280298,0.08441515882878307
Degs2,449.7976773558614,0.677452895992105,0.38508030020047185,0.00246170544787433,0.08441515882878307
Fmo2,2381.72789936976,0.675911926786952,0.5711207741033028,0.0049903603912152495,0.09057828718116338
Cln8,3797.614883690755,0.6732414190636189,0.34846214156682176,0.001836353629585613,0.08441515882878307
Kctd4,1418.6349938243964,0.66323192214954,0.46428547277962207,0.0039413987263422125,0.08807317451170461
Adam19,504.5966419814378,0.6601511458481619,0.3391269331598287,0.0018128566101596212,0.08441515882878307
Gjb6,149.11659551323902,0.6561243766658489,0.3944181125389763,0.002923407307062423,0.08441515882878307
Hapln2,21.281905269544133,0.65123618125328,0.3711424501894059,0.0027072310181274644,NA
Slc39a2,280.2524639663366,0.6475632727006806,0.17033557173649805,8.066391246329317e-6,0.011806171887908747
Stac2,60.1374589010874,0.6394968249811628,0.33578712387851734,0.0020397064555350165,0.08441515882878307
Otub2,1525.4980307698088,0.6380046561546481,0.3418900644079108,0.002153025721587607,0.08441515882878307
Pfkfb3,531.1451393800119,0.6309060163979199,0.24036031515970732,4.0424662014977185e-4,0.06279282834506514
Serpinb11,559.840391488253,0.627503249274253,0.19287111206287144,6.099961487516608e-5,0.034011642408253315
P2ry4,245.62677914260303,0.6263318075532386,0.33617276569491295,0.0021942166016705547,0.08441515882878307
Tmem95,64.20983111932694,0.6248337499375392,0.33569530433020317,0.0022282719500173907,0.08441515882878307
Gramd1c,2565.5620121910306,0.6239274870076131,0.41399903709628405,0.004090020623063871,0.08807317451170461
Xkrx,2785.897455346846,0.6204866768271342,0.3547401398605245,0.0025183328782719876,0.08441515882878307
Cpm,3381.4663565793567,0.6050967827639021,0.29691099989105185,0.0016435600964943395,0.08259418527833572
Hsbp1l1,358.9886203203925,0.6037272645239883,0.41045773766229887,0.004049660458573299,0.08807317451170461
2310050C09Rik,26781.605604597706,0.6023584255475858,0.41066890337423934,0.006214167780318367,0.09150475770227039
Il36g,3093.9666282448707,0.6017572942986271,0.42281290150322764,0.004470989757005703,0.08974762157752197
Slc5a1,1465.3459612496447,0.6010328215263979,0.12955637513180224,1.585000572485067e-7,4.6396929258069123e-4
Glrx,3604.4681262184463,0.5989722983242594,0.5068890192943312,0.00546040679337309,0.09094914242403661
Rnf225,3993.8624022494846,0.5936450826187112,0.3758084477931428,0.0036019714042486877,0.08807317451170461
Tsc22d2,2161.475256521606,0.5913945806564981,0.2845113060864812,0.001558316474508679,0.0824390586608831
Ctnnbip1,8395.321560738703,0.5900085292414056,0.42816142757967607,0.005477207449532897,0.09094914242403661
Trim15,44.970228236262045,0.5885292267018771,0.45046895790765684,0.00501278760725885,0.09057828718116338
Smpd3,4811.051732239186,0.5884810973335923,0.5252625325822236,0.005804332279180684,0.09094914242403661
Ormdl1,531.5821427083565,0.584443096163965,0.2552440979904355,9.867270525296973e-4,0.07541354865582567
Slc28a3,947.7050842829967,0.5813117295096606,0.264340466240584,0.0012149134518591093,0.08051332872230046
Teddm3,1426.805969196457,0.5808985343704597,0.3532866285636978,0.0032784390034046474,0.08607004997951798
Cdc14b,1250.1269741002136,0.5798540984097471,0.2808560503861938,0.0016170607584121133,0.0824390586608831
Il36rn,7726.776730035458,0.5797756564818259,0.3311626939002949,0.002825885058220609,0.08441515882878307
Gjb2,762.4924082781733,0.5741131746794312,0.2172489905510136,4.169696494953403e-4,0.06279282834506514
Plb1,583.1145025807596,0.5730799918870391,0.4102083956009494,0.004630122092018808,0.09028970208253155
Eef1akmt3,101.16127026073586,0.5722500045603088,0.2869124270632164,0.001880750085395705,0.08441515882878307
Pnpla1,2855.327854201503,0.5713382982806847,0.3377371720210938,0.003157727208741876,0.08555294033684897
Cers3,2442.06296249591,0.5675462614267135,0.22371585773115343,5.569382934934108e-4,0.06707284768522552
Slurp1,4665.25715712148,0.5661325275830024,0.35601335820402463,0.0036942649751294503,0.08807317451170461
Map3k8,825.3001931028065,0.5651478260886699,0.35829510497680084,0.003773432039239699,0.08807317451170461
Tmprss11f,2407.7348260214976,0.5639926316283815,0.4047111503055163,0.004811947535155057,0.09028970208253155
Rnf222,856.0157267324493,0.5611905773612391,0.4226385605780105,0.005044012643472312,0.09064395088369409
Cacng4,68.35711091747865,0.5602225699349382,0.28723473618339296,0.002104013971498844,0.08441515882878307
Cptp,1494.6544561611104,0.551567211035212,0.32889257139866523,0.0033609579831042308,0.08722925322998008
Prss27,303.13168172342085,0.5499461356175378,0.3650187359890117,0.004259773497270745,0.08901591969756661
Id4,1902.2431705479921,0.547803364172856,0.34461895008091104,0.003811816367392319,0.08807317451170461
Rnf11,5418.88447525477,0.5464399797398842,0.384849675123029,0.004854028314680168,0.09028970208253155
Mxd1,3291.336436098657,0.5463133278047219,0.34441730986251556,0.003833197875398492,0.08807317451170461
Cyp26b1,2750.4264625523033,0.5439877588863424,0.35953381605600454,0.0043633494429875935,0.08939967821384438
Rapgef4,508.5445343537217,0.5434430718370807,0.33951165328688054,0.0038040919959715243,0.08807317451170461
A4galt,264.4982970641116,0.540935090160189,0.3297001332002087,0.0036100069254491867,0.08807317451170461
Ggct,11661.653141516083,0.5397696817387577,0.4432634358216028,0.006261891804930166,0.09150475770227039
Smoc1,42.2541226123469,0.5391137048029112,0.33992561045497394,0.003977641510647562,0.08807317451170461
Slc16a5,38.07133012290039,0.5387359001424377,0.27206646388508693,0.002112621183377518,0.08441515882878307
Egln3,1529.1663332265844,0.5371689712453905,0.20503409774097636,4.722818136107011e-4,0.06503924819687264
Tmprss11g,165.25747916176002,0.5367267989964812,0.22691889221714887,8.990522628687212e-4,0.07353991704336
Lypd5,12762.449100502912,0.5364545874230707,0.2798901056529763,0.002324450175917001,0.08441515882878307
Dusp14,2792.016161183775,0.5361346236143469,0.39981369173419745,0.005271664427704231,0.09090709688363599
Cpa4,9667.40121802716,0.5337567036369912,0.5295920457017533,0.006880989227896604,0.09186251703032501
Pla2g4b,252.5714516782635,0.5314119080329706,0.5328265034459128,0.006917913183953326,0.09186251703032501
Asprv1,64197.22998885792,0.529953547139043,0.5352953249497021,0.010548547739115356,0.10093097412702351
Psors1c2,1268.5053887722102,0.5295826740063628,0.40132426539613203,0.005417064370709492,0.09094914242403661
Lce6a,2822.167950933058,0.5281630440202179,0.8731350884813041,0.007680631237845743,0.09289458471587586
Vgll3,2547.642575977963,0.5273225867818118,0.5646612236568734,0.007153672974993865,0.09272224756672232
Fchsd2,1428.9166770044217,0.5261454638552556,0.33824765021203457,0.004196754343472594,0.08871549768930463
Slc35f2,219.26441785340012,0.5249866125967411,0.18780524615167254,2.977561291477971e-4,0.05883438575110316
Ptk6,1429.7628896994925,0.5230029440310663,0.21345824399154573,7.524548420389354e-4,0.07281399789614788
Arhgap29,1344.6580861082841,0.5216664846296611,0.3255406265587399,0.004010338492968805,0.08807317451170461
